Type,Text,Count
ham,K tell me anything about you.,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged ï¿½5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0
ham,Yup... Ok i go home look at the timings then i msg ï¿½_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
ham,"Oops, I'll let you know when my roommate's done",0
ham,I see the letter B on my car,0
ham,Anything lor... U decide...,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,3
ham,WHO ARE YOU SEEING?,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
ham,No calls..messages..missed calls,0
ham,Didn't you get hep b immunisation in nigeria.,0
ham,"Fair enough, anything going on?",0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
ham,What you thinked about me. First time you saw me in class.,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1
ham,"Sorry, I'll call later in meeting.",0
ham,Tell where you reached,0
ham,Yes..gauti and sehwag out of odi series.,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
ham,Ha ha ha good joke. Girls are situation seekers.,0
ham,Its a part of checking IQ,0
ham,"Sorry my roommates took forever, it ok if I come by now?",0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½1500 Bonus Prize, call 09066364589",2
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ï¿½1000. To claim txt DIS to 87121 18+6*ï¿½1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",0
ham,I plane to give on this month end.,0
ham,Wah lucky man... Then can save money... Hee...,0
ham,Finished class where are you.,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0
ham,K..k:)where are you?how did you performed?,0
ham,U can call me now...,0
ham,I am waiting machan. Call me once you free.,1
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0
ham,I like you peoples very much:) but am very shy pa.,0
ham,Does not operate after  &lt;#&gt;  or what,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0
ham,"Sorry, I'll call later",0
ham,K. Did you call me just now ah? ,0
ham,Ok i am on the way to home hi hi,0
ham,You will be in the place of that man,0
ham,Yup next stop.,0
ham,"I call you later, don't have network. If urgnt, sms me.",0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
ham,I'm really not up to it still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",1
ham,Yeah do! Donï¿½ï¿½ï¿½t stand to close tho- youï¿½ï¿½ï¿½ll catch something!,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!,2
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1
ham,Watching telugu movie..wat abt u?,0
ham,i see. When we finish we have loads of loans to pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",0
ham,Please don't text me anymore. I have nothing else to say.,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
ham,Umma my life and vava umma love you lot dear,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0
ham,"Aight, I'll hit you up when I get some cash",0
ham,How would my ip address test that considering my computer isn't a minecraft server,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
ham,Dont worry. I guess he's busy.,0
ham,What is the plural of the noun research?,0
ham,Going for dinner.msg you after.,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a ï¿½1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,2
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
spam,You are a winner U have been specially selected 2 receive ï¿½1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0
spam,"URGENT! Your Mobile No. was awarded ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",2
ham,here is my new address -apples&pairs&all that malarky,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0
ham,I am going to sao mu today. Will be done only at 12 ,0
ham,ï¿½ï¿½ predict wat time ï¿½_'ll finish buying?,0
ham,"Good stuff, will do.",0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
ham,Are you there in room.,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0
ham,K..k:)how much does it cost?,0
ham,I'm home.,0
ham,"Dear, will call Tmorrow.pls accomodate.",0
ham,First answer my question.,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½1.50 SP:Tyrone,1
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0
ham,I only haf msn. It's yijue@hotmail.com,0
ham,He is there. You call and meet him,0
ham,No no. I will check all rooms befor activities,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1
ham,Got c... I lazy to type... I forgot ï¿½_ in lect... I saw a pouch but like not v nice...,0
ham,"K, text me when you're on the way",0
ham,"Sir, Waiting for your mail.",0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0
ham,I know you are. Can you pls open the back?,0
ham,Yes see ya not on the dot,0
ham,Whats the staff name who is taking class for us?,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
ham,K..i deleted my contact that why?,0
ham,Sindu got job in birla soft ..,0
ham,The wine is flowing and i'm i have nevering..,2
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
ham,Ok... Ur typical reply...,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",2
ham,Aaooooright are you at work?,0
ham,I'm leaving my house now...,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0
spam,You are a winner U have been specially selected 2 receive ï¿½1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0
ham,New car and house for my parents.:)i have only new job in hand:),0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0
ham,I place all ur points on e cultures module already.,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ï¿½900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,3
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0
ham,Yes :)it completely in out of form:)clark also utter waste.,0
ham,"Sir, I need AXIS BANK account no and bank address.",0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",1
ham,What time you coming down later? ,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0
ham,Let me know when you've got the money so carlos can make the call,0
ham,U still going to the mall?,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",1
ham,Text her. If she doesnt reply let me know so i can have her log in,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,1
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
ham,Lol no. U can trust me.,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,0
ham,"He will, you guys close?",0
ham,Going on nothing great.bye,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0
ham,"Haha awesome, be there in a minute",0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!,3
ham,Have you got Xmas radio times. If not i will get it now,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0
ham,Hi :)finally i completed the course:),0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0
ham,Gud mrng dear hav a nice day,0
ham,Did u got that persons story,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",0
ham,I sent you  &lt;#&gt;  bucks,0
